_id,ลำดับ,รายละเอียด,สำนักงานเขต,สน.พื้นที่,พิกัด,พื้นที่ความรับผิดชอบ
1,1,แยกพัฒนาการ (ถ.พัฒนาการ - ศรีนครินทร์),สวนหลวง,"คลองตัน,ประเวศ","13.735236, 100.641140",กรุงเทพมหานคร
2,2,ถนนประชาธิปก (ใกล้วงเวียนใหญ่),คลองสาน,บางยี่เรือ,"13.726948, 100.493022",กรุงเทพมหานคร
3,3,แยกวงศ์สว่าง (ถนนวงศ์สว่าง ตัดถนนกรุงเทพ-นนทบุรี),บางซื่อ,ประชาชื่น,"13.828467, 100.528340",กรุงเทพมหานคร
4,4,แยกบางหว้า (ถนนเพชรเกษม ตัดถนนราชพฤกษ์),ภาษีเจริญ,ภาษีเจริญ,"13.720691, 100.457700",กรมทางหลวงชนบท
5,5,แยกมไหสวรรค์ (ถนนพระรามที่ 3 ตัดถนนสมเด็จพระเจ้าตากสิน),ธนบุรี,"บุคคโล,สำเหร่","13.704663, 100.485541",กรุงเทพมหานคร
6,6,ถนนเจริญนคร บริเวณซอย 39 - 47,ธนบุรี,สำเหร่,"13.711271, 100.49950",กรุงเทพมหานคร
7,7,สะพานสมเด็จพระเจ้าตากสิน,คลองสาน,"สมเด็จเจ้าพระยา,สำเหร่","13.71798, 100.517003",กรุงเทพมหานคร
8,8,ถนนราชพฤกษ์ ใกล้สถานี BTS วุฒากาศ,ธนบุรี,"ตลาดพลู,บางขุนเทียน","13.713122, 100.468906",กรมทางหลวงชนบท
9,9,แยกท่าพระ (ถนนรัชดาภิเษก ตัดถนนจรัญสนิทวงศ์ ตัดถนนเพชรเกษม),บางกอกใหญ่,ท่าพระ,"13.729236, 100.474459",กรุงเทพมหานคร
10,10,แยกถนนสมเด็จพระเจ้าตากสิน ตัดถนนราชพฤกษ์,ธนบุรี,"บางยี่เรือ,บุปผาราม,สำเหร่,บุคคโล","13.720611, 100.491220",กรุงเทพมหานคร
11,11,แยกประชาธรรม (รามคำแหง 39) ถนนประดิษฐ์มนูธรรม,วังทองหลาง,วังทองหลาง,"13.767050, 100.601985",กรุงเทพมหานคร
12,12,ถนนรัชดาภิเษก (บริเวณรัชดาภิเษก 32 หน้าศาลอาญา),จตุจักร,พหลโยธิน,"13.815975, 100.575383",กรุงเทพมหานคร
13,13,ถนนประเสริฐมนูกิจ ตัดถนนประดิษฐ์มนูธรรม,ลาดพร้าว,"โชคชัย,โคกคราม","13.825735, 100.628045",การทางพิเศษ
14,14,แยกอโศกมนตรี (ถนนสุขุมวิท ตัดถนนอโศกมนตรี),คลองเตย,"ลุมพินี,คลองเตย","13.736391, 100.561290",กรุงเทพมหานคร
15,15,ถนนประเสริฐมนูกิจ ตัดถนนลาดปลาเค้า,ลาดพร้าว,โชคชัย,"13.841782, 100.595018",กรมทางหลวง
16,16,ถนนราชพฤกษ์ (ซอยสมเด็จพระเจ้าตากสิน8) ใกล้สถานีรถไฟฟ้าโพธิ์นิมิตร,ธนบุรี,บางยี่เรือ,"13.719225, 100.486815",กรมทางหลวงชนบท
17,17,สะพานข้ามแยกรัชดา-ลาดพร้าว,จตุจักร,"สุทธิสาร,พหลโยธิน","13.805396, 100.574932",กรุงเทพมหานคร
18,18,ถนนพระราม 2 (ทางหลวงแผ่นดินหมายเลข 35) (พระราม 2 ซอย 24 - พระราม 2 ซอย 28/1),จอมทอง,บางมด,"13.678346, 100.465072",กรมทางหลวง
19,19,ถนนเพชรเกษม บริเวณเพชรเกษม ซอย 68 ถึงเพชรเกษม ซอย 74,บางแค,"หลักสอง,เพชรเกษม","13.711445, 100.4153553",กรุงเทพมหานคร
20,20,แยกเกษมราษฎร์ (ถนนพระราม 4 ตัดถนนเกษมราษฎร์) ใกล้โลตัสพระราม 4,คลองเตย,ทองหล่อ,"13.718270, 100.568732",กรุงเทพมหานคร
21,21,ถนนพุทธบูชา ตัดถนนประชาอุทิศ(ใกล้มจธ.),ทุ่งครุ,ราษฎร์บูรณะ,"13.647107, 100.495649",กรุงเทพมหานคร
22,22,ประชาราษฎร์สาย1 หน้าซอยวัดบางโพโอมาวาส,บางซื่อ,"เตาปูน,บางโพ","13.809157, 100.521745",กรุงเทพมหานคร
