﻿ID,sub_div,code_dist,District,Road,location,C_Type,lat,long,Cross_Marking,OSB,Rumble_Strip,S_Warning,S_Recom,Num_lane,Light,Push_Light,Remark,x,y
1,กค2,22,ปทุมวัน,ถนนพระรามที่ 1,แยกพงษ์พระราม,Thermo,13.7479583,100.5206768,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,5,ไม่มี,ไม่มี,1แห่ง,664413.703,1520370.639
2,กค2,22,ปทุมวัน,ถนนพระรามที่ 1,วัดชัยมงคล,Cole,13.747594,100.522783,ปกติ,ไม่มี,ไม่มี,มี,มี,5,มี,ไม่มี,ป้ายเตือนกระพิบ 1 เตือนธรรมดา 1,664641.725,1520331.775
3,กค2,22,ปทุมวัน,ถนนพระรามที่ 1,วัดชัยมงคล,Cole,13.747594,100.522783,ปกติ,ไม่มี,ไม่มี,มี,ไม่มี,5,ไม่มี,ไม่มี,ป้ายเตือนกระพิบ 1 เตือนธรรมดา 1,664641.725,1520331.775
4,กค2,22,ปทุมวัน,ถนนพระรามที่ 1,แยกเจริญผล ,Thermo,13.7474172,100.5237552,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,5,ไม่มี,ไม่มี,1แห่ง,664746.985,1520312.881
5,กค2,22,ปทุมวัน,ถนนพระรามที่ 1,หน้าสำนักงานตำรวจแห่งชาติ,Thermo,13.7449011,100.5379423,ปกติ,ไม่มี,ไม่มี,มี,มี,6,มี,ไม่มี,,666282.984,1520044.273
6,กค2,22,ปทุมวัน,ถนนพระรามที่ 1,แยกเฉลิมเผ่า,Thermo,13.7451436,100.5359208,ปกติ,ไม่มี,ไม่มี,มี,มี,7,ไม่มี,ไม่มี,1แห่ง,666064.201,1520069.706
7,กค2,22,ปทุมวัน,ถนนพระรามที่ 1,แยกราชประสงค์,Thermo,13.7446145,100.5402072,ปกติ,ไม่มี,ไม่มี,ไม่มี,มี,6,ไม่มี,ไม่มี,1แห่ง,666528.121,1520014.13
8,กค2,22,ปทุมวัน,ถนนเพลินจิต,แยกชิดลม,Thermo,13.7439875,100.5438689,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,6,ไม่มี,ไม่มี,1แห่ง,666924.556,1519947.299
9,กค2,22,ปทุมวัน,พระรามที่ 4,แยกหัวลำโพง,Thermo,13.7379434,100.5164442,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,12,ไม่มี,ไม่มี,1แห่ง,663962.952,1519259.834
10,กค2,22,ปทุมวัน,พระรามที่ 4,แยกมหานคร,Thermo,13.7367712,100.5191319,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,10,ไม่มี,ไม่มี,1แห่ง,664254.433,1519131.985
11,กค2,22,ปทุมวัน,พระรามที่ 4,หน้าศาลแขวงปทุมวัน,Cole,13.7363549,100.5201127,ปกติ,มี,ไม่มี,มี,ไม่มี,10,มี,ไม่มี,,664360.793,1519086.599
12,กค2,22,ปทุมวัน,พระรามที่ 4,แยกสะพานเหลือง ,Thermo,13.7358056,100.5215004,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,10,ไม่มี,ไม่มี,1แห่ง,664511.251,1519026.778
13,กค2,22,ปทุมวัน,พระรามที่ 4,แยกสามย่าน,Cole,13.7329272,100.5288095,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,8,ไม่มี,ไม่มี,1แห่ง,665303.728,1518713.344
14,กค2,22,ปทุมวัน,พระรามที่ 4,แยกอังรีดูนังต์,Thermo,13.7308841,100.5337031,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,8,ไม่มี,ไม่มี,1แห่ง,665834.402,1518490.679
15,กค2,22,ปทุมวัน,พระรามที่ 4,แยกศาลาแดง,Thermo,13.7296031,100.5365281,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,8,ไม่มี,ไม่มี,1แห่ง,666140.827,1518350.907
16,กค2,22,ปทุมวัน,พระรามที่ 4,แยกวิทยุ,Thermo,13.7264067,100.544467,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,8,ไม่มี,ไม่มี,1แห่ง,667001.688,1518002.775
17,กค2,22,ปทุมวัน,ถนนจารุเมือง,แยกวัดดวงแค,Thermo,13.7406072,100.5196997,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,4,ไม่มี,ไม่มี,1แห่ง,664313.164,1519556.739
18,กค2,22,ปทุมวัน,ถนนจารุเมือง,หน้าวัดดวงแค,Cole,13.7419296,100.5198937,ปกติ,ไม่มี,ไม่มี,มี,มี,,มี,ไม่มี,,664333.222,1519703.165
19,กค2,22,ปทุมวัน,ถนนจารุเมือง,แยกตัดกับถนนจรัสเมือง,Thermo,13.7428707,100.5200188,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,4,ไม่มี,ไม่มี,,664346.095,1519807.362
20,กค2,22,ปทุมวัน,พระรามที่ 6,พระรามที่ 6 ซอย 1,Thermo,13.7440315,100.5201761,ปกติ,ไม่มี,ไม่มี,ไม่มี,มี,4,ไม่มี,ไม่มี,,664362.296,1519935.885
21,กค2,22,ปทุมวัน,พระรามที่ 6,พระรามที่ 6 ซอย 3,Thermo,13.7448874,100.5202817,ปกติ,ไม่มี,ไม่มี,มี,มี,4,ไม่มี,ไม่มี,,664373.119,1520030.644
22,กค2,22,ปทุมวัน,พระรามที่ 6,โรงแรมเดอะทวินทาวเวอร์,Thermo,13.745536,100.5203755,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,4,มี,ไม่มี,,664382.81,1520102.461
23,กค2,22,ปทุมวัน,พระรามที่ 6,พระรามที่ 6 ซอย 5,Thermo,13.7459827,100.5204435,ปกติ,ไม่มี,ไม่มี,ไม่มี,ไม่มี,4,ไม่มี,ไม่มี,,664389.852,1520151.924
