section_id,section_name,complaint_num,edited,progress,no_progress,sum_month,sum_year,remark
1040010,ฝ่ายการคลัง,0,0,0,0,7,2565,
1040009,ฝ่ายรายได้,0,0,0,0,7,2565,
1040008,ฝ่ายปกครอง,0,0,0,0,7,2565,
1040007,ฝ่ายทะเบียน,0,0,0,0,7,2565,
1040006,ฝ่ายการศึกษา,0,0,0,0,7,2565,
1040005,ฝ่ายพัฒนาชุมชนและสวัสดิการสังคม,1,0,1,0,7,2565,
1040004,ฝ่ายโยธา,80,45,35,0,7,2565,
1040003,ฝ่ายสิ่งแวดล้อมและสุขาภิบาล,42,39,3,0,7,2565,
1040002,ฝ่ายเทศกิจ,31,29,2,0,7,2565,
1040001,ฝ่ายรักษาความสะอาดและสวนสาธารณะ,40,36,4,0,7,2565,
1040010,ฝ่ายการคลัง,0,0,0,0,6,2565,
1040009,ฝ่ายรายได้,1,1,0,0,6,2565,
1040008,ฝ่ายปกครอง,1,1,0,0,6,2565,
1040007,ฝ่ายทะเบียน,0,0,0,0,6,2565,
1040006,ฝ่ายการศึกษา,1,1,0,0,6,2565,
1040005,ฝ่ายพัฒนาชุมชนและสวัสดิการสังคม,2,2,0,0,6,2565,
1040004,ฝ่ายโยธา,71,53,18,0,6,2565,
1040003,ฝ่ายสิ่งแวดล้อมและสุขาภิบาล,56,55,1,0,6,2565,
1040002,ฝ่ายเทศกิจ,33,30,3,0,6,2565,
1040001,ฝ่ายรักษาความสะอาดและสวนสาธารณะ,32,32,0,0,6,2565,
1040010,ฝ่ายการคลัง,0,0,0,0,5,2565,
1040009,ฝ่ายรายได้,0,0,0,0,5,2565,
1040008,ฝ่ายปกครอง,3,3,0,0,5,2565,
1040007,ฝ่ายทะเบียน,1,1,0,0,5,2565,
1040006,ฝ่ายการศึกษา,2,2,0,0,5,2565,
1040005,ฝ่ายพัฒนาชุมชนและสวัสดิการสังคม,4,4,0,0,5,2565,
1040004,ฝ่ายโยธา,64,50,14,0,5,2565,
1040003,ฝ่ายสิ่งแวดล้อมและสุขาภิบาล,26,25,1,0,5,2565,
1040002,ฝ่ายเทศกิจ,26,26,0,0,5,2565,
1040001,ฝ่ายรักษาความสะอาดและสวนสาธารณะ,36,36,0,0,5,2565,
1040010,ฝ่ายการคลัง,0,0,0,0,4,2565,
1040009,ฝ่ายรายได้,0,0,0,0,4,2565,
1040008,ฝ่ายปกครอง,0,0,0,0,4,2565,
1040007,ฝ่ายทะเบียน,0,0,0,0,4,2565,
1040006,ฝ่ายการศึกษา,0,0,0,0,4,2565,
1040005,ฝ่ายพัฒนาชุมชนและสวัสดิการสังคม,1,1,0,0,4,2565,
1040004,ฝ่ายโยธา,68,41,27,0,4,2565,
1040003,ฝ่ายสิ่งแวดล้อมและสุขาภิบาล,35,35,0,0,4,2565,
1040002,ฝ่ายเทศกิจ,36,33,3,0,4,2565,
1040001,ฝ่ายรักษาความสะอาดและสวนสาธารณะ,40,39,1,0,4,2565,
